[2026-03-20 21:01:41] ============================================================
[2026-03-20 21:01:41] 🐕 看门狗监控启动
[2026-03-20 21:01:41] 监控目标：crypto_signal_monitor.py
[2026-03-20 21:01:41] 检查间隔：30秒
[2026-03-20 21:01:41] ============================================================
[2026-03-20 21:01:41] 💓 监控进程正常运行
[2026-03-20 21:02:12] 💓 监控进程正常运行
[2026-03-20 21:02:42] 💓 监控进程正常运行
[2026-03-20 21:03:12] 💓 监控进程正常运行
[2026-03-20 21:03:42] 💓 监控进程正常运行
[2026-03-20 21:04:13] 💓 监控进程正常运行
[2026-03-20 21:04:43] 💓 监控进程正常运行
[2026-03-20 21:05:13] 💓 监控进程正常运行
[2026-03-20 21:05:43] 💓 监控进程正常运行
[2026-03-20 21:06:14] 💓 监控进程正常运行
[2026-03-20 21:06:44] 💓 监控进程正常运行
[2026-03-20 21:07:14] 💓 监控进程正常运行
[2026-03-20 21:07:44] 💓 监控进程正常运行
[2026-03-20 21:08:15] 💓 监控进程正常运行
[2026-03-20 21:08:45] 💓 监控进程正常运行
[2026-03-20 21:09:15] 💓 监控进程正常运行
[2026-03-20 21:09:45] 💓 监控进程正常运行
[2026-03-20 21:10:16] 💓 监控进程正常运行
[2026-03-20 21:10:46] 💓 监控进程正常运行
[2026-03-20 21:11:16] 💓 监控进程正常运行
[2026-03-20 21:11:47] 💓 监控进程正常运行
[2026-03-20 21:12:17] 💓 监控进程正常运行
[2026-03-20 21:12:47] 💓 监控进程正常运行
[2026-03-20 21:13:17] 💓 监控进程正常运行
[2026-03-20 21:13:47] 💓 监控进程正常运行
[2026-03-20 21:14:18] 💓 监控进程正常运行
[2026-03-20 21:14:48] 💓 监控进程正常运行
[2026-03-20 21:15:18] 💓 监控进程正常运行
[2026-03-20 21:15:48] 💓 监控进程正常运行
[2026-03-20 21:16:19] 💓 监控进程正常运行
[2026-03-20 21:16:49] 💓 监控进程正常运行
[2026-03-20 21:17:19] 💓 监控进程正常运行
[2026-03-20 21:17:49] 💓 监控进程正常运行
[2026-03-20 21:18:20] 💓 监控进程正常运行
[2026-03-20 21:18:50] 💓 监控进程正常运行
[2026-03-20 21:19:20] 💓 监控进程正常运行
[2026-03-20 21:19:50] 💓 监控进程正常运行
[2026-03-20 21:20:21] 💓 监控进程正常运行
[2026-03-20 21:20:51] 💓 监控进程正常运行
[2026-03-20 21:21:21] 💓 监控进程正常运行
[2026-03-20 21:21:52] 💓 监控进程正常运行
[2026-03-20 21:22:22] 💓 监控进程正常运行
[2026-03-20 21:22:52] 💓 监控进程正常运行
[2026-03-20 21:23:22] 💓 监控进程正常运行
[2026-03-20 21:23:53] 💓 监控进程正常运行
[2026-03-20 21:24:23] 💓 监控进程正常运行
[2026-03-20 21:24:53] 💓 监控进程正常运行
[2026-03-20 21:25:24] 💓 监控进程正常运行
[2026-03-20 21:25:54] 💓 监控进程正常运行
[2026-03-20 21:26:24] 💓 监控进程正常运行
[2026-03-20 21:26:54] 💓 监控进程正常运行
[2026-03-20 21:27:25] 💓 监控进程正常运行
[2026-03-20 21:27:55] 💓 监控进程正常运行
[2026-03-20 21:28:25] 💓 监控进程正常运行
[2026-03-20 21:28:55] 💓 监控进程正常运行
[2026-03-20 21:29:26] 💓 监控进程正常运行
[2026-03-20 21:29:56] 💓 监控进程正常运行
[2026-03-20 21:30:26] 💓 监控进程正常运行
[2026-03-20 21:30:56] 💓 监控进程正常运行
[2026-03-20 21:31:27] 💓 监控进程正常运行
[2026-03-20 21:31:57] 💓 监控进程正常运行
[2026-03-20 21:32:27] 💓 监控进程正常运行
[2026-03-20 21:32:57] 💓 监控进程正常运行
[2026-03-20 21:33:28] 💓 监控进程正常运行
[2026-03-20 21:33:58] 💓 监控进程正常运行
[2026-03-20 21:34:28] 💓 监控进程正常运行
[2026-03-20 21:34:58] 💓 监控进程正常运行
[2026-03-20 21:35:29] 💓 监控进程正常运行
[2026-03-20 21:35:59] 💓 监控进程正常运行
[2026-03-20 21:36:29] 💓 监控进程正常运行
[2026-03-20 21:36:59] 💓 监控进程正常运行
[2026-03-20 21:37:30] 💓 监控进程正常运行
[2026-03-20 21:38:00] 💓 监控进程正常运行
[2026-03-20 21:38:30] 💓 监控进程正常运行
[2026-03-20 21:39:00] 💓 监控进程正常运行
[2026-03-20 21:39:31] 💓 监控进程正常运行
[2026-03-20 21:40:01] 💓 监控进程正常运行
[2026-03-20 21:40:31] 💓 监控进程正常运行
[2026-03-20 21:41:01] 💓 监控进程正常运行
[2026-03-20 21:41:32] 💓 监控进程正常运行
[2026-03-20 21:42:02] 💓 监控进程正常运行
[2026-03-20 21:42:32] 💓 监控进程正常运行
[2026-03-20 21:43:02] 💓 监控进程正常运行
[2026-03-20 21:43:33] 💓 监控进程正常运行
[2026-03-20 21:44:03] 💓 监控进程正常运行
